path,type,enum,minimum,maximum
"ITR.ITR1.Schedule80GGA.TotalEligibleDonationAmt80GGA","integer","",0,99999999999999
"ITR.ITR1.Schedule80GGC.Schedule80GGCDetails[].DonationAmtCash","integer","",0,99999999999999
"ITR.ITR1.Schedule80GGC.Schedule80GGCDetails[].DonationAmtOtherMode","integer","",0,99999999999999
"ITR.ITR1.Schedule80GGC.Schedule80GGCDetails[].DonationAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80GGC.Schedule80GGCDetails[].EligibleDonationAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80GGC.TotalDonationAmtCash80GGC","integer","",0,99999999999999
"ITR.ITR1.Schedule80GGC.TotalDonationAmtOtherMode80GGC","integer","",0,99999999999999
"ITR.ITR1.Schedule80GGC.TotalDonationsUs80GGC","integer","",0,99999999999999
"ITR.ITR1.Schedule80GGC.TotalEligibleDonationAmt80GGC","integer","",0,99999999999999
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.SelfAndFamily","integer","",0,25000
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.HealthInsPremSlfFam","integer","",0,99999999999999
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.Sec80DSelfFamHIDtls.Sch80DInsDtls[].HealthInsAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.Sec80DSelfFamHIDtls.TotalPayments","integer","",0,99999999999999
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.PrevHlthChckUpSlfFam","integer","",0,5000
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.SelfAndFamilySeniorCitizen","integer","",0,50000
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.HlthInsPremSlfFamSrCtzn","integer","",0,99999999999999
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.Sec80DSelfFamSrCtznHIDtls.Sch80DInsDtls[].HealthInsAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.Sec80DSelfFamSrCtznHIDtls.TotalPayments","integer","",0,99999999999999
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.PrevHlthChckUpSlfFamSrCtzn","integer","",0,5000
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.MedicalExpSlfFamSrCtzn","integer","",0,99999999999999
