Full Path,Mandatory/Optional,Data Type,Structure,Constraints,Enum Values,Description,Ref,Array Info
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].DeductedYr,Optional,integer,Scalar,max=2024; min=2008,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",,DeductedYr,
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].BroughtFwdTDSAmt,Optional,integer,Scalar,max=99999999999999; min=0; default=0,,,BroughtFwdTDSAmt,
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].TaxDeductCreditDtls,Mandatory,object,Nested Object,,,,TaxDeductCreditDtls,
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].TaxDeductCreditDtls.TaxDeductedOwnHands,Optional,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].TaxDeductCreditDtls.TaxDeductedIncome,Optional,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].TaxDeductCreditDtls.TaxDeductedTDS,Optional,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].TaxDeductCreditDtls.TaxClaimedOwnHands,Mandatory,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].TaxDeductCreditDtls.TaxClaimedIncome,Optional,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].TaxDeductCreditDtls.TaxClaimedTDS,Optional,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].TaxDeductCreditDtls.TaxClaimedSpouseOthPrsnPAN,Optional,object,Nested Object,pattern=[A-Z]{5}[0-9]{4}[A-Z],,, (allOf: nonEmptyString),
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].TaxDeductCreditDtls.SpouseOthPrsnAadhaar,Optional,object,Nested Object,pattern=[0-9]{12},,, (allOf: nonEmptyString),
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].GrossAmount,Optional,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].HeadOfIncome,Optional,string,Scalar,,"HP, CG, OS, EI",HP - Income from House Property; CG - Income from Capital Gains; OS - Income from Other Sources; EI - Exempt Income,,
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].AmtCarriedFwd,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,AmtCarriedFwd,
ITR2.ScheduleTDS3.TotalTDS3OnOthThanSal,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleTCS,Optional,object,Nested Object,,,,ScheduleTCS,
ITR2.ScheduleTCS.TCS,Optional,array,Array,minItems=1,,,,items: object
ITR2.ScheduleTCS.TotalSchTCS,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.Verification,Mandatory,object,Nested Object,,,Verification declaration details,Verification,
ITR2.Verification.Declaration,Mandatory,object,Nested Object,,,,,
ITR2.Verification.Capacity,Mandatory,string,Scalar,,"S, R, K, A",S : Self; R : Representative; K : Karta; A : Authorised Signatory,,
ITR2.Verification.Date,Optional,string,Scalar,pattern=([12]\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])),,Date in YYYY-MM-DD format,,
ITR2.Verification.Place,Optional,object,Nested Object,maxLength=50; minLength=1,,, (allOf: nonEmptyString),
ITR2.TaxReturnPreparer,Optional,object,Nested Object,,,TRP details,TaxReturnPreparer,
ITR2.TaxReturnPreparer.IdentificationNoOfTRP,Mandatory,object,Nested Object,pattern=[T][0-9]{9}|[0-9]{6},,, (allOf: nonEmptyString),
ITR2.TaxReturnPreparer.NameOfTRP,Mandatory,object,Nested Object,maxLength=125; minLength=1,,, (allOf: nonEmptyString),
ITR2.TaxReturnPreparer.ReImbFrmGov,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleESOP,Optional,object,Nested Object,,,"Tax deferred on ESOP : Information related to Tax deferred - relatable to income on perquisites referred in section 17(2)(vi) received from employer, being an eligible start-up referred to in section ",ScheduleESOP,
ITR2.ScheduleESOP.PanofStartUp,Mandatory,object,Nested Object,pattern=[A-Z]{5}[0-9]{4}[A-Z],,, (allOf: nonEmptyString),
ITR2.ScheduleESOP.DPIITRegNo,Mandatory,string,Scalar,"pattern=DIPP[0-9]{3,5}",,,,
ITR2.ScheduleESOP.ScheduleESOP2122_Type,Optional,object,Nested Object,,,,,
ITR2.ScheduleESOP.ScheduleESOP2223_Type,Optional,object,Nested Object,,,,,
ITR2.ScheduleESOP.ScheduleESOP2324_Type,Optional,object,Nested Object,,,,,
ITR2.ScheduleESOP.ScheduleESOP2425_Type,Optional,object,Nested Object,,,,,
ITR2.ScheduleESOP.ScheduleESOP2526_Type,Optional,object,Nested Object,,,,,
ITR2.ScheduleESOP.ScheduleESOP2627_Type,Optional,object,Nested Object,,,,,
ITR2.ScheduleESOP.TotalTaxAttributedAmt,Mandatory,integer,Scalar,max=99999999999999; min=0,,,,
